user_id,app_name,age,gender,country,urban_rural,income_level,employment_status,education_level,relationship_status,has_children,exercise_hours_per_week,sleep_hours_per_night,diet_quality,smoking,alcohol_frequency,perceived_stress_score,self_reported_happiness,body_mass_index,blood_pressure_systolic,blood_pressure_diastolic,daily_steps_count,weekly_work_hours,hobbies_count,social_events_per_month,books_read_per_year,volunteer_hours_per_month,travel_frequency_per_year,daily_active_minutes_instagram,sessions_per_day,posts_created_per_week,reels_watched_per_day,stories_viewed_per_day,likes_given_per_day,comments_written_per_day,dms_sent_per_week,dms_received_per_week,ads_viewed_per_day,ads_clicked_per_day,time_on_feed_per_day,time_on_explore_per_day,time_on_messages_per_day,time_on_reels_per_day,followers_count,following_count,uses_premium_features,notification_response_rate,account_creation_year,last_login_date,average_session_length_minutes,content_type_preference,preferred_content_theme,privacy_setting_level,two_factor_auth_enabled,biometric_login_used,linked_accounts_count,subscription_status,user_engagement_score
434,Instagram,62,Male,South Korea,Suburban,Middle,Full-time employed,Bachelor’s,Married,Yes,11.9,6.9,Poor,No,Weekly,10,8,27.3,115,81,7984,31.9,3,7,14,1.9,2,59.0,2,3,64,66,48,13,11,12,7,2,32,16,14,18,983,1276,No,0.77,2013,2025-04-06,29.5,Live,Other,Friends only,No,Yes,4,Free,1.38
435,Instagram,37,Male,United States,Rural,Low,Student,Some college,Married,No,4.0,6.2,Average,No,Never,33,10,20.9,148,77,8060,40.9,2,2,8,3.5,1,259.0,23,6,199,150,138,39,32,32,34,10,146,62,59,55,2021,1972,Yes,0.19,2012,2025-03-12,11.3,Stories,Food,Private,Yes,No,1,Business,0.9
436,Instagram,36,Male,Germany,Urban,Middle,Freelancer,Master’s,In a relationship,Yes,4.8,8.2,Good,Former,Weekly,28,2,28.3,122,65,8100,30.5,5,5,9,3.2,4,289.0,23,7,221,150,170,58,51,40,28,9,118,73,60,77,195,265,No,0.42,2017,2025-10-13,12.6,Mixed,Music,Friends only,Yes,No,4,Premium,1.06
437,Instagram,25,Male,United Kingdom,Suburban,Low,Full-time employed,High school,In a relationship,No,9.0,6.6,Good,No,Never,21,4,27.7,140,67,8008,12.1,2,4,16,2.8,4,273.0,20,7,278,150,155,55,30,37,25,4,126,61,31,102,1095,2298,Yes,0.7,2021,2025-08-24,13.6,Stories,Art,Friends only,Yes,No,0,Free,1.04
438,Instagram,19,Female,South Korea,Suburban,Upper-middle,Student,Some college,Married,No,10.5,9.0,Average,No,Weekly,8,9,31.7,117,72,8058,50.1,2,5,7,5.6,4,5.0,1,5,120,23,31,3,10,9,3,0,2,1,1,2,3749,4187,No,0.34,2021,2025-04-26,5.0,Photos,Tech,Private,No,Yes,1,Business,8.67
439,Instagram,48,Female,United States,Suburban,Lower-middle,Freelancer,Some college,Single,No,9.1,7.6,Average,No,Rarely,31,8,18.5,111,79,8067,53.0,2,3,9,4.5,2,133.0,4,4,131,78,85,18,28,27,19,3,60,27,13,44,5070,7336,No,0.25,2021,2025-09-06,33.2,Mixed,Fitness,Private,No,No,2,Free,0.99
440,Instagram,57,Male,India,Urban,Low,Full-time employed,Bachelor’s,Married,No,1.5,6.3,Good,Yes,Rarely,18,8,29.2,159,68,8032,27.5,2,2,5,4.3,2,97.0,11,2,105,72,76,19,16,15,13,3,54,17,21,38,744,1170,Yes,0.02,2016,2025-02-18,8.8,Stories,Fashion,Private,No,Yes,1,Free,1.22
441,Instagram,32,Female,Other,Suburban,Lower-middle,Student,Bachelor’s,Married,Yes,0.6,7.7,Average,No,Never,38,5,32.5,104,71,8111,44.1,2,7,6,3.1,4,377.0,15,7,298,150,216,65,43,57,33,8,160,84,46,135,648,893,No,0.46,2024,2025-08-21,25.1,Mixed,Food,Private,No,No,2,Free,0.97
442,Instagram,13,Female,South Korea,Urban,Lower-middle,Full-time employed,Bachelor’s,Divorced,Yes,4.6,6.3,Average,Yes,Never,27,6,32.5,116,69,8095,39.0,2,4,9,3.7,1,269.0,10,12,278,110,183,49,23,42,22,5,126,67,59,83,3705,6860,No,0.55,2021,2025-07-23,26.9,Videos,Food,Public,No,No,1,Free,1.17
443,Instagram,20,Male,Japan,Urban,Low,Student,Bachelor’s,Married,No,10.9,7.5,Excellent,Former,Never,18,7,36.3,136,72,8138,49.0,3,5,4,9.6,5,180.0,6,8,240,102,125,29,23,27,26,9,101,39,36,55,556,632,No,0.71,2014,2025-02-11,30.0,Photos,Travel,Private,No,Yes,0,Business,1.14
444,Instagram,58,Female,India,Urban,Low,Full-time employed,Bachelor’s,Single,Yes,8.3,7.4,Good,No,Rarely,31,5,29.0,116,95,8002,59.0,2,10,9,2.2,1,260.0,8,6,174,140,182,44,41,45,29,5,137,73,47,101,180,250,Yes,0.36,2015,2025-08-02,32.5,Live,Travel,Public,No,No,5,Free,1.1
445,Instagram,28,Male,United States,Suburban,Low,Part-time,Other,Single,No,12.6,6.8,Good,No,Never,15,9,25.5,157,97,8247,34.0,1,4,11,3.5,2,159.0,5,4,204,85,109,30,31,35,18,4,78,29,34,53,317,639,No,0.01,2023,2025-01-23,31.8,Stories,Tech,Public,No,No,2,Free,1.13
446,Instagram,26,Male,United States,Suburban,Low,Full-time employed,High school,Single,No,6.9,6.8,Excellent,No,Rarely,11,1,26.1,129,81,7985,59.0,0,5,7,3.2,4,181.0,8,4,229,102,133,32,37,32,28,5,107,36,33,70,1400,1619,No,0.62,2011,2025-03-05,22.6,Reels,Music,Public,Yes,No,4,Business,1.15
447,Instagram,24,Female,Brazil,Suburban,Upper-middle,Full-time employed,Bachelor’s,Married,Yes,10.2,8.2,Excellent,Former,Rarely,6,9,25.0,112,96,7994,54.1,1,7,17,9.5,2,85.0,6,6,185,68,54,23,15,21,5,3,37,10,10,26,5037,4695,No,0.49,2010,2025-02-06,14.2,Photos,Travel,Public,No,Yes,2,Free,1.37
448,Instagram,63,Male,Australia,Rural,Low,Part-time,PhD,In a relationship,No,6.4,6.5,Average,No,Rarely,7,10,25.1,157,84,7984,40.4,0,8,15,2.0,2,5.0,1,2,61,32,26,8,11,11,6,3,3,1,1,2,151,362,No,0.54,2018,2025-03-22,5.0,Mixed,Food,Private,Yes,Yes,2,Free,8.0
449,Instagram,35,Female,South Korea,Urban,Lower-middle,Full-time employed,High school,Single,No,5.3,6.5,Poor,No,Rarely,25,5,27.4,146,98,7876,51.9,2,11,15,6.4,1,193.0,17,2,171,108,119,37,23,28,14,3,92,24,32,67,204,392,Yes,0.35,2025,2025-07-06,11.4,Videos,Travel,Public,Yes,No,4,Business,1.03
450,Instagram,27,Female,United States,Suburban,Upper-middle,Full-time employed,Bachelor’s,In a relationship,No,1.9,6.2,Average,No,Never,16,8,26.8,159,95,8045,37.8,3,9,13,3.9,5,163.0,16,0,219,89,107,37,21,28,17,4,96,23,31,47,292,531,No,0.1,2011,2025-03-19,10.2,Live,Fitness,Public,No,No,2,Free,1.1
451,Instagram,40,Female,Canada,Urban,Low,Unemployed,Bachelor’s,In a relationship,No,5.9,4.9,Very poor,No,Rarely,8,4,21.9,92,62,8009,38.5,3,4,10,7.2,1,118.0,14,9,115,82,66,19,22,20,13,4,53,33,14,32,2040,4356,No,0.77,2020,2025-04-18,8.4,Live,Other,Public,Yes,Yes,2,Free,1.1
452,Instagram,46,Male,United Kingdom,Suburban,Upper-middle,Full-time employed,Some college,Single,No,15.2,5.4,Good,No,Rarely,17,7,26.0,155,76,7971,54.7,2,4,14,0.8,1,89.0,3,0,103,52,81,20,19,18,13,3,53,15,12,36,155,364,No,0.63,2010,2025-04-08,29.7,Reels,Art,Private,No,No,2,Free,1.34
453,Instagram,14,Female,Brazil,Urban,High,Unemployed,Bachelor’s,Single,No,3.7,7.1,Poor,No,Never,35,4,26.3,99,95,7875,53.9,2,7,9,0.3,4,357.0,15,11,300,150,242,72,57,44,31,12,198,88,78,116,1040,2126,No,0.04,2017,2025-05-05,23.8,Photos,Other,Friends only,No,Yes,3,Free,1.17
454,Instagram,44,Female,India,Rural,Lower-middle,Student,High school,Single,No,10.6,6.8,Very poor,No,Several times a week,26,4,25.9,153,62,7889,18.6,3,2,13,4.7,5,256.0,8,10,176,122,156,32,26,34,24,9,123,58,38,61,458,801,No,0.37,2019,2025-11-02,32.0,Videos,Art,Private,Yes,Yes,3,Free,0.97
455,Instagram,35,Female,United Kingdom,Urban,Lower-middle,Full-time employed,Bachelor’s,Married,No,12.9,8.1,Average,No,Daily,16,10,19.7,138,96,7955,47.4,2,5,6,4.1,2,112.0,4,0,96,77,87,19,22,24,13,0,47,32,20,41,415,485,Yes,0.5,2016,2025-07-17,28.0,Reels,Food,Private,Yes,Yes,3,Premium,1.11
456,Instagram,34,Female,Other,Urban,Lower-middle,Full-time employed,Some college,Married,Yes,4.3,7.0,Poor,No,Rarely,7,6,26.7,113,84,7952,37.5,1,6,5,2.3,4,105.0,3,2,109,64,71,23,18,23,15,8,47,18,11,41,666,1586,Yes,0.55,2012,2025-08-04,35.0,Reels,Food,Private,No,No,3,Free,1.16
457,Instagram,63,Female,India,Urban,Upper-middle,Student,Bachelor’s,Married,No,5.9,7.9,Poor,No,Rarely,11,4,27.8,133,70,7940,45.9,2,4,11,5.0,2,31.0,2,2,61,41,48,11,12,7,11,2,18,4,3,9,2854,2759,No,0.66,2017,2025-05-05,15.5,Videos,Fashion,Public,Yes,Yes,3,Free,2.38
458,Instagram,37,Female,Other,Suburban,Low,Full-time employed,Bachelor’s,Married,No,10.4,8.1,Average,No,Weekly,19,7,22.3,129,63,7940,50.1,4,6,9,5.5,3,151.0,11,1,118,75,87,30,34,24,13,9,87,28,34,57,532,974,No,0.78,2018,2025-01-24,13.7,Stories,Music,Friends only,No,No,1,Free,0.99
459,Instagram,34,Male,United States,Urban,Middle,Part-time,High school,Single,No,8.5,5.9,Very poor,Former,Weekly,29,5,32.2,148,76,7882,47.2,2,8,10,6.4,3,311.0,10,6,221,150,167,58,43,42,33,6,148,51,60,78,1471,971,No,0.48,2015,2025-06-23,31.1,Reels,Other,Private,No,No,2,Free,0.96
460,Instagram,34,Female,Other,Rural,Middle,Full-time employed,Other,Single,No,5.4,6.5,Average,No,Never,13,4,24.2,131,69,7954,27.4,2,4,8,2.7,0,110.0,10,1,117,70,75,23,18,20,13,2,57,25,11,28,11353,9757,No,0.38,2021,2025-10-10,11.0,Live,Other,Public,Yes,No,4,Free,1.12
461,Instagram,61,Female,United Kingdom,Urban,High,Full-time employed,High school,Divorced,Yes,2.0,6.1,Poor,No,Rarely,18,7,26.4,118,68,7898,38.7,2,2,7,7.5,2,135.0,4,5,121,95,93,32,24,16,13,3,65,22,17,29,207,432,No,0.2,2010,2025-04-27,33.8,Live,Fitness,Public,Yes,No,3,Free,1.26
462,Instagram,64,Male,Canada,Rural,Upper-middle,Part-time,Bachelor’s,In a relationship,No,10.3,8.5,Excellent,No,Daily,27,1,30.0,119,75,8025,50.9,4,2,10,5.6,2,241.0,7,9,203,130,161,44,32,41,24,4,138,62,57,86,1833,1792,No,0.63,2013,2025-08-15,34.4,Reels,Music,Private,Yes,No,1,Free,1.14
463,Instagram,54,Male,Other,Suburban,Middle,Full-time employed,Bachelor’s,Married,Yes,8.8,7.3,Average,Yes,Never,36,3,29.4,143,91,8052,43.8,4,6,14,5.8,3,301.0,10,4,223,150,169,44,48,45,31,5,124,61,59,61,154,200,No,0.2,2024,2025-09-16,30.1,Videos,Tech,Public,No,Yes,1,Business,0.89
464,Instagram,18,Female,Other,Rural,Upper-middle,Full-time employed,Master’s,Single,Yes,5.8,6.7,Very poor,No,Rarely,6,9,25.4,103,96,7984,41.3,2,6,10,1.7,2,37.0,1,13,146,51,38,16,11,12,11,0,18,11,6,9,476,226,No,0.54,2012,2025-05-03,37.0,Mixed,Food,Private,No,No,2,Free,2.87
465,Instagram,27,Male,Brazil,Urban,Middle,Freelancer,Some college,Single,No,2.3,6.3,Average,No,Several times a week,3,2,23.3,152,85,8044,28.6,2,3,5,1.7,2,93.0,3,4,158,61,91,25,17,17,22,5,55,14,18,22,394,870,Yes,0.08,2024,2025-07-02,31.0,Videos,Fashion,Private,No,No,1,Free,1.63
466,Instagram,55,Female,United States,Urban,Upper-middle,Freelancer,Some college,Divorced,No,9.2,5.5,Average,No,Rarely,26,4,22.4,104,65,7919,50.2,2,3,9,1.1,4,210.0,15,9,154,115,149,49,26,26,17,8,116,51,39,52,600,440,No,0.66,2025,2025-06-18,14.0,Reels,Fitness,Friends only,No,No,0,Free,1.3
467,Instagram,49,Female,Japan,Urban,High,Freelancer,Bachelor’s,Single,Yes,4.1,7.9,Excellent,Yes,Weekly,24,10,29.4,95,80,8130,63.2,1,3,15,5.1,3,203.0,20,11,151,120,130,42,33,30,24,3,108,47,36,57,6478,10000,No,0.01,2021,2025-05-01,10.2,Stories,Food,Friends only,Yes,No,2,Free,1.21
468,Instagram,45,Female,India,Urban,Middle,Full-time employed,Bachelor’s,Married,No,10.1,7.5,Average,No,Weekly,30,3,25.3,112,90,8030,33.0,1,2,7,4.2,5,298.0,10,6,218,150,192,45,39,53,31,8,170,53,74,91,2877,1160,No,0.26,2010,2025-12-11,29.8,Stories,Music,Private,Yes,Yes,0,Free,1.0
469,Instagram,20,Female,United States,Suburban,Middle,Unemployed,Some college,Divorced,No,4.4,7.6,Poor,Former,Never,39,5,22.4,99,93,7940,40.3,5,5,2,7.7,3,458.0,50,12,300,150,241,72,47,54,40,9,236,114,77,176,1352,1118,No,0.91,2012,2025-12-20,9.2,Photos,Travel,Public,Yes,No,1,Free,0.92
470,Instagram,65,Female,United States,Urban,Lower-middle,Full-time employed,Some college,Married,Yes,4.5,7.2,Good,No,Several times a week,14,2,19.1,134,97,7948,45.0,4,8,6,3.2,5,124.0,10,5,110,92,103,17,33,20,16,3,62,25,23,31,367,237,No,0.53,2017,2025-08-18,12.4,Videos,Music,Friends only,No,No,1,Business,1.22
471,Instagram,56,Female,Australia,Urban,Lower-middle,Full-time employed,High school,Single,No,6.6,7.4,Very poor,No,Several times a week,4,9,26.5,132,62,8019,47.4,3,5,10,0.7,3,5.0,1,1,52,31,24,2,6,7,3,0,2,1,1,2,1765,955,No,0.48,2017,2025-05-14,5.0,Photos,Travel,Public,Yes,No,2,Premium,5.17
472,Instagram,56,Male,India,Urban,Middle,Full-time employed,Master’s,Married,Yes,11.9,8.5,Good,No,Never,37,1,23.9,125,85,8024,38.0,1,2,7,7.8,1,384.0,21,7,282,150,213,62,59,41,42,11,185,101,66,143,7326,8763,No,0.09,2014,2025-04-22,18.3,Reels,Other,Public,Yes,No,1,Free,0.93
473,Instagram,17,Female,United States,Urban,Middle,Full-time employed,Bachelor’s,Married,Yes,4.2,7.8,Very poor,No,Rarely,8,4,17.2,149,83,8007,22.9,3,2,8,3.4,4,200.0,11,8,217,110,121,31,25,30,30,3,99,35,22,48,2974,3680,No,0.52,2016,2025-10-12,18.2,Stories,Food,Public,No,No,3,Free,1.03
474,Instagram,51,Male,United Kingdom,Urban,Upper-middle,Student,Bachelor’s,In a relationship,No,10.3,5.0,Poor,No,Weekly,10,5,26.7,120,97,8044,28.7,1,2,9,8.1,3,49.0,3,2,66,51,43,16,25,12,7,3,24,9,11,16,292,411,Yes,0.47,2020,2025-02-28,16.3,Mixed,Food,Public,Yes,No,2,Free,1.62
475,Instagram,16,Male,United States,Urban,Lower-middle,Freelancer,Some college,Single,No,8.2,4.4,Average,Yes,Rarely,18,6,29.3,143,81,7877,59.2,4,6,16,3.3,4,204.0,11,13,219,105,135,39,27,34,15,9,109,50,27,52,1209,551,No,0.9,2017,2025-03-01,18.5,Live,Travel,Public,Yes,No,3,Free,1.23
476,Instagram,18,Female,Japan,Urban,Low,Student,Bachelor’s,Divorced,No,11.0,6.2,Poor,Former,Never,2,2,29.6,124,74,8206,47.5,1,3,10,6.9,1,121.0,10,7,183,79,87,16,16,18,15,3,57,33,25,48,812,655,No,0.39,2014,2025-11-17,12.1,Photos,Fitness,Public,No,Yes,4,Free,1.15
477,Instagram,57,Male,United States,Suburban,Middle,Full-time employed,High school,In a relationship,Yes,16.4,8.7,Average,No,Never,17,6,22.1,145,91,8033,54.7,4,4,15,2.1,7,112.0,6,6,107,80,86,24,25,25,3,8,66,27,24,24,1108,1234,No,0.84,2020,2025-06-19,18.7,Photos,Other,Private,Yes,Yes,0,Free,1.35
478,Instagram,44,Male,Canada,Urban,Middle,Part-time,Other,Single,No,16.8,8.2,Very poor,No,Rarely,8,2,25.2,119,60,7806,35.4,3,4,10,5.9,6,163.0,8,3,139,84,104,30,34,26,15,3,66,29,17,62,255,535,No,0.85,2017,2025-11-09,20.4,Reels,Food,Private,Yes,Yes,5,Premium,1.05
479,Instagram,64,Male,Japan,Suburban,Upper-middle,Unemployed,Bachelor’s,Married,No,4.6,7.5,Poor,No,Rarely,39,4,30.9,126,69,8125,40.1,0,4,3,4.2,5,272.0,20,6,215,138,163,43,36,38,21,10,146,61,31,82,3105,5828,No,0.81,2010,2025-05-18,13.6,Reels,Music,Friends only,Yes,Yes,2,Free,0.98
480,Instagram,42,Male,Brazil,Urban,Lower-middle,Full-time employed,Some college,Married,Yes,3.8,5.6,Good,No,Weekly,11,7,27.1,102,92,8194,39.7,6,6,6,1.9,2,125.0,5,3,117,76,83,29,21,15,11,5,75,26,15,45,2255,2307,Yes,0.51,2012,2025-02-22,25.0,Stories,Food,Private,No,Yes,1,Free,1.19
481,Instagram,59,Male,Germany,Urban,Middle,Full-time employed,Bachelor’s,Single,No,4.0,9.6,Average,No,Rarely,13,1,32.6,105,75,7921,46.3,3,3,7,0.9,2,94.0,3,1,87,72,85,16,18,15,5,2,45,17,11,28,4393,5900,No,0.66,2016,2025-08-13,31.3,Mixed,Fashion,Public,No,No,1,Free,1.26
482,Instagram,47,Female,India,Urban,Low,Student,Other,Married,Yes,3.2,6.9,Average,Yes,Rarely,5,6,28.9,144,74,7886,28.8,5,10,8,2.3,5,38.0,4,4,64,35,46,17,12,10,12,5,22,5,9,14,671,1600,No,0.03,2016,2025-01-09,9.5,Live,Fashion,Friends only,No,No,1,Free,2.36
483,Instagram,52,Female,India,Urban,Lower-middle,Freelancer,Some college,In a relationship,No,4.5,8.9,Average,No,Rarely,32,6,15.0,126,78,8052,44.6,2,4,10,7.5,5,247.0,7,3,159,113,163,63,31,47,20,8,135,30,47,68,5155,5521,No,0.8,2020,2025-04-17,35.3,Videos,Other,Private,Yes,No,0,Free,1.2
484,Instagram,64,Female,Japan,Urban,Lower-middle,Student,Some college,Married,No,5.5,6.6,Average,Yes,Rarely,35,8,25.7,142,91,7994,46.2,2,1,7,2.3,4,249.0,15,6,193,133,157,36,35,34,30,5,140,39,40,96,408,247,No,0.3,2010,2025-04-09,16.6,Mixed,Food,Public,Yes,Yes,2,Business,0.99
485,Instagram,28,Female,Australia,Urban,Low,Freelancer,Some college,Widowed,No,12.0,5.6,Average,No,Rarely,28,6,32.7,121,76,8006,31.7,6,5,14,7.9,6,286.0,13,9,276,118,150,49,39,59,33,9,161,67,53,102,1612,1791,No,0.94,2018,2025-08-17,22.0,Stories,Music,Friends only,Yes,No,1,Premium,0.96
486,Instagram,25,Male,India,Rural,Upper-middle,Full-time employed,Some college,Married,No,4.6,6.0,Poor,No,Weekly,34,6,29.6,109,98,8035,43.8,4,8,9,6.8,5,264.0,8,11,283,143,163,45,40,37,35,8,154,37,42,81,6326,10000,No,0.67,2025,2025-02-18,33.0,Mixed,Travel,Public,Yes,No,2,Free,1.08
487,Instagram,62,Male,Brazil,Rural,Upper-middle,Full-time employed,High school,Married,No,7.7,6.7,Excellent,No,Rarely,2,2,27.1,108,82,8049,45.2,1,7,6,3.6,2,30.0,2,3,52,43,38,1,18,8,9,0,16,8,5,7,274,592,No,0.84,2024,2025-11-02,15.0,Videos,Tech,Private,Yes,Yes,5,Free,1.58
488,Instagram,54,Female,United States,Suburban,Lower-middle,Student,Bachelor’s,Divorced,No,2.9,6.1,Poor,No,Rarely,22,2,19.8,109,87,8081,35.2,7,9,10,6.2,4,219.0,7,4,174,133,133,43,44,34,27,4,88,54,23,45,12427,10000,No,0.76,2021,2025-09-04,31.3,Stories,Other,Private,No,Yes,1,Free,1.05
489,Instagram,42,Female,Brazil,Urban,Middle,Part-time,Bachelor’s,In a relationship,No,10.5,5.0,Average,No,Never,34,3,26.5,102,70,7985,43.2,7,3,11,1.0,4,299.0,26,4,208,150,173,62,32,31,26,6,127,45,47,107,1145,1319,No,0.01,2024,2025-03-25,11.5,Live,Other,Friends only,Yes,Yes,2,Free,1.03
490,Instagram,31,Female,Canada,Suburban,Low,Full-time employed,Some college,Single,No,11.9,7.5,Poor,No,Weekly,11,8,20.6,149,73,7970,31.2,3,7,4,3.7,3,112.0,3,2,110,86,83,18,19,20,11,2,60,16,19,40,1038,556,No,0.03,2010,2025-12-13,37.3,Videos,Food,Public,No,No,1,Premium,1.11
491,Instagram,29,Male,United Kingdom,Suburban,Low,Student,Bachelor’s,Single,No,2.7,6.8,Average,No,Never,1,7,20.6,110,74,7936,46.0,2,6,12,2.7,6,5.0,1,3,132,30,24,11,12,10,4,0,3,1,1,2,1192,1147,No,0.69,2019,2025-11-12,5.0,Mixed,Travel,Private,Yes,Yes,1,Premium,9.17
492,Instagram,31,Female,Other,Urban,Middle,Student,Some college,Single,Yes,4.4,7.9,Excellent,No,Weekly,9,9,21.2,156,90,8069,35.0,2,4,10,1.3,4,126.0,4,2,108,85,87,24,21,17,17,2,59,28,30,50,1518,2455,No,0.02,2023,2025-09-09,31.5,Live,Tech,Friends only,Yes,Yes,2,Free,1.11
493,Instagram,40,Female,Germany,Urban,Lower-middle,Student,High school,In a relationship,No,4.0,6.0,Excellent,No,Never,21,10,28.8,108,80,7808,43.9,1,3,12,5.6,3,94.0,8,3,87,71,76,18,22,18,14,6,51,23,19,23,988,1858,No,0.4,2021,2025-05-25,11.8,Live,Tech,Friends only,No,No,0,Free,1.27
494,Instagram,38,Male,India,Urban,Upper-middle,Freelancer,High school,Single,No,11.2,4.9,Very poor,No,Several times a week,23,10,23.7,105,75,8147,42.8,3,6,11,6.4,3,69.0,3,3,94,58,64,19,14,16,11,3,29,14,17,28,1329,3227,No,0.38,2020,2025-04-09,23.0,Live,Other,Private,Yes,No,2,Free,1.59
495,Instagram,49,Male,United States,Urban,Lower-middle,Unemployed,PhD,Single,Yes,3.6,7.6,Good,No,Weekly,37,4,22.6,144,61,7958,40.1,2,2,12,1.2,4,399.0,34,9,300,150,235,65,50,53,23,8,171,45,65,100,353,442,Yes,0.76,2019,2025-02-09,11.7,Photos,Art,Private,Yes,No,2,Free,0.98
496,Instagram,38,Female,Australia,Rural,Middle,Full-time employed,Some college,Single,Yes,3.4,5.9,Average,No,Weekly,24,8,27.4,123,90,8009,44.5,6,3,12,2.8,2,206.0,6,8,166,114,145,33,33,33,23,2,85,35,26,81,858,378,No,0.09,2018,2025-08-03,34.3,Mixed,Travel,Private,Yes,No,4,Business,1.14
497,Instagram,65,Female,Germany,Suburban,Middle,Student,High school,Married,No,7.0,8.3,Excellent,No,Rarely,22,10,31.0,137,82,7905,42.3,4,6,8,3.3,2,53.0,4,0,77,60,58,11,7,11,12,1,21,15,11,19,3842,3373,No,0.3,2022,2025-07-17,13.2,Stories,Food,Public,Yes,No,2,Premium,1.48
498,Instagram,35,Male,United States,Urban,High,Freelancer,High school,Single,No,8.4,6.1,Poor,Yes,Never,40,1,24.4,103,80,7983,50.5,2,2,11,4.5,3,519.0,17,14,300,150,294,72,59,80,50,14,268,91,66,182,1793,2191,Yes,0.46,2017,2025-05-26,30.5,Live,Other,Public,Yes,No,0,Premium,0.92
499,Instagram,21,Female,United Kingdom,Urban,Middle,Student,High school,Single,No,5.5,7.6,Average,No,Several times a week,35,5,17.6,151,69,7977,54.0,2,6,9,5.4,3,344.0,23,16,300,150,206,72,43,43,38,6,139,99,59,108,1782,1950,Yes,0.16,2020,2025-02-26,15.0,Videos,Fashion,Public,No,No,2,Free,1.15
500,Instagram,24,Female,India,Urban,Low,Freelancer,Some college,Married,Yes,3.4,6.8,Average,Former,Never,36,5,28.9,103,76,8127,31.4,5,5,12,3.1,1,307.0,26,9,300,150,164,44,43,42,35,9,158,64,75,74,202,472,No,0.27,2015,2025-05-26,11.8,Stories,Food,Public,No,No,1,Free,0.91
501,Instagram,65,Male,Australia,Urban,Upper-middle,Freelancer,PhD,Single,Yes,7.2,7.3,Average,No,Never,13,8,25.7,128,64,8025,47.4,6,0,6,1.8,1,89.0,3,1,90,71,65,23,15,17,11,3,43,18,17,19,112,266,Yes,0.81,2013,2025-12-15,29.7,Mixed,Fitness,Friends only,No,No,1,Free,1.27
502,Instagram,13,Female,Japan,Suburban,Lower-middle,Full-time employed,High school,Married,No,4.5,5.9,Average,No,Rarely,29,5,34.0,135,81,7974,32.5,3,2,11,7.2,5,192.0,8,9,236,121,140,35,38,34,12,3,95,19,41,77,7769,8594,No,0.22,2019,2025-07-01,24.0,Videos,Other,Friends only,Yes,Yes,1,Free,1.23
503,Instagram,13,Female,United States,Urban,Low,Full-time employed,High school,In a relationship,Yes,5.9,6.6,Good,No,Several times a week,1,10,23.5,131,82,8075,35.2,4,6,10,3.7,2,5.0,1,4,134,34,28,7,10,6,5,0,3,1,1,2,736,526,No,0.47,2014,2025-12-10,5.0,Live,Music,Friends only,No,No,0,Premium,9.0
504,Instagram,59,Male,India,Urban,Lower-middle,Freelancer,High school,Married,No,9.9,6.9,Poor,No,Rarely,35,7,16.9,143,61,7920,48.3,5,5,5,4.8,2,254.0,9,8,223,121,145,37,41,32,23,4,115,47,36,75,451,859,Yes,0.75,2018,2025-03-04,28.2,Mixed,Fashion,Friends only,Yes,Yes,1,Free,0.95
505,Instagram,46,Female,Brazil,Suburban,Middle,Student,Bachelor’s,Divorced,No,3.9,7.4,Excellent,No,Rarely,13,7,26.4,152,87,8032,47.5,3,4,8,4.0,4,102.0,4,2,95,70,76,26,16,23,18,1,49,21,21,23,574,1228,No,0.41,2012,2025-03-11,25.5,Mixed,Art,Friends only,Yes,No,1,Premium,1.3
506,Instagram,44,Female,India,Suburban,Middle,Full-time employed,Some college,Single,Yes,3.5,6.0,Average,Former,Never,7,6,26.0,105,92,8102,29.0,2,4,6,6.9,4,32.0,1,2,58,46,40,9,17,16,8,1,14,4,4,8,4842,10000,No,0.46,2010,2025-09-08,32.0,Photos,Other,Private,Yes,Yes,2,Free,1.94
507,Instagram,60,Female,India,Urban,High,Full-time employed,Bachelor’s,Divorced,No,3.4,5.4,Good,No,Several times a week,4,6,22.6,157,72,7930,47.7,3,3,11,1.8,0,5.0,1,5,46,40,25,6,12,7,5,0,3,1,1,2,584,722,Yes,0.41,2015,2025-08-07,5.0,Videos,Art,Friends only,Yes,No,2,Free,8.67
508,Instagram,37,Female,Germany,Suburban,Middle,Freelancer,Bachelor’s,Single,No,4.8,6.9,Good,No,Rarely,35,3,19.7,150,96,7997,31.1,2,4,6,3.5,7,346.0,27,12,245,150,198,63,41,64,33,11,186,102,73,103,1792,2371,No,0.13,2020,2025-11-26,12.8,Stories,Fitness,Friends only,Yes,Yes,0,Free,1.04
509,Instagram,52,Female,United States,Suburban,Lower-middle,Student,High school,Married,No,6.9,6.9,Average,No,Weekly,13,3,20.7,92,74,8111,41.3,5,1,5,5.4,5,120.0,5,6,97,69,81,20,34,23,13,4,52,27,17,38,1605,3774,Yes,0.02,2019,2025-07-07,24.0,Live,Tech,Public,Yes,Yes,3,Free,1.15
510,Instagram,57,Male,Brazil,Suburban,Lower-middle,Full-time employed,High school,Married,Yes,11.3,6.3,Average,No,Weekly,21,5,22.6,92,62,7996,46.7,4,5,9,1.5,4,132.0,13,3,100,87,78,34,24,31,12,5,65,14,16,41,1653,1488,No,0.34,2019,2025-05-16,10.2,Reels,Fitness,Public,Yes,No,5,Free,1.17
